cn,dd,gz,jy,name,url,xl
广州寄锦教育科技有限公司,广州-天河区,12-18万,2年以上,招聘Python开发工程师,https://www.liepin.com/job/1918227061.shtml,本科及以上
浩鲸云计算科技股份有限公司,广州-番禺区,17-25万,3年以上,招聘Python开发工程师,https://www.liepin.com/job/1916243311.shtml,本科及以上
深圳市微友家园科技有限公司,广州-天河区,面议,3年以上,招聘资深Python工程师职业培训师,https://www.liepin.com/job/1920005091.shtml,大专及以上
广州聚焦网络技术有限公司,广州-东风东,12-19万,3年以上,招聘python爬虫工程师,https://www.liepin.com/job/1920668155.shtml,本科及以上
广州锦行网络科技有限公司,广州,14-22万,5年以上,招聘python开发工程师（高级）,https://www.liepin.com/job/1917539401.shtml,大专及以上
广州锦行网络科技有限公司,广州,10-14万,3年以上,招聘python开发工程师（中级）,https://www.liepin.com/job/1917539367.shtml,大专及以上
广州锦行网络科技有限公司,广州,7-10万,经验不限,招聘python开发工程师（初级）,https://www.liepin.com/job/1917539335.shtml,大专及以上
广州游爱网络技术有限公司,广州,10-18万,1年以上,招聘Python后台开发工程师,https://www.liepin.com/job/1917762895.shtml,大专及以上
威讯柏睿数据科技(北京)有限公司,广州-天河区,12-36万,5年以上,招聘Python开发工程师,https://www.liepin.com/job/1916840645.shtml,统招本科
河南东京软件科技有限公司,广州,10-18万,1年以上,招聘Python软件工程师,https://www.liepin.com/job/1918144459.shtml,大专及以上
广州达美智能科技有限公司,广州-天河区,7-14万,1年以上,招聘python开发工程师,https://www.liepin.com/job/1919310145.shtml,本科及以上
深圳市小码教育科技有限公司福田分公司,广州-市桥,10-18万,1年以上,招聘讲师（Scratch/Python/C++）,https://www.liepin.com/job/1920072303.shtml,统招本科
静瞳海外投资顾问(深圳)有限公司,广州-天河区,12-36万,1年以上,招聘Python开发工程师,https://www.liepin.com/job/1915074634.shtml,本科及以上
广州市云润大数据服务有限公司,广州-天河区,12-18万,3年以上,招聘Python中级工程师,https://www.liepin.com/job/1917475833.shtml,大专及以上
广州市云润大数据服务有限公司,广州-天河区,7-10万,2年以上,招聘python开发工程师,https://www.liepin.com/job/1918732081.shtml,大专及以上
广州麦仑信息科技有限公司,广州-天河区,10-19万,2年以上,招聘python开发工程师,https://www.liepin.com/job/1919027203.shtml,大专及以上
杭州玛亚科技有限公司,广州,12-18万,经验不限,招聘Python开发工程师,https://www.liepin.com/job/1918497443.shtml,学历不限
广州腾宇电力科技有限公司,广州-天河区,12-24万,5年以上,招聘Python中高级开发工程师,https://www.liepin.com/job/1920818257.shtml,本科及以上
知名互联网公司,"北京,广州,深圳",42-84万,3年以上,招聘C++/Python软件工程师-通才   软件工程师,https://www.liepin.com/a/15381333.shtml,学历不限
某公司,"广州,深圳,东莞",20-39万,4年以上,招聘高级Python后台开发工程师,https://www.liepin.com/a/13868223.shtml,统招本科
 Global Group 全球大型集团,"广州,深圳,西安",56-84万,5年以上,招聘Python - 开发工程师,https://www.liepin.com/a/14782939.shtml,大专及以上
广州某IT公司因,广州-天河区,18-24万,3年以上,招聘Python工程师 爬虫工程师,https://www.liepin.com/a/15204231.shtml,大专及以上
某亚马逊数据分析软件公司 （广告软件产品）,广州,14-24万,4年以上,招聘python工程师 爬虫工程师,https://www.liepin.com/a/14824791.shtml,本科及以上
广州某电商平台软件开发企业,广州,16-24万,3年以上,招聘Python工程师 爬虫工程师,https://www.liepin.com/a/14824393.shtml,统招本科
某知名互联网公司,"深圳,广州,东莞",30-48万,3年以上,招聘Python后台开发工程师,https://www.liepin.com/a/15091671.shtml,本科及以上
网易集团,广州-天河区,32-48万,3年以上,招聘Python 开发工程师,https://www.liepin.com/job/1915906297.shtml,本科及以上
广州一一网络技术有限公司,广州-天河区,12-24万,3年以上,招聘Python 后端开发工程师,https://www.liepin.com/job/1916326277.shtml,大专及以上
北京传智播客教育科技有限公司,广州-天河区,24-36万,5年以上,招聘Python数据分析及机器学习讲师,https://www.liepin.com/job/1916848263.shtml,大专及以上
北京传智播客教育科技有限公司,广州-天河区,24-36万,5年以上,招聘Python web讲师,https://www.liepin.com/job/1917495959.shtml,大专及以上
林氏木业,广州,12-18万,3年以上,招聘python开发/软件开发,https://www.liepin.com/job/1919753681.shtml,本科及以上
广州市吉特科技有限公司,广州,18-24万,2年以上,招聘python开发工程师,https://www.liepin.com/job/1920734439.shtml,本科及以上
玄武科技,广州-天河区,面议,2年以上,招聘中级Python开发工程师,https://www.liepin.com/job/1916900193.shtml,统招本科
卓动信息,广州-东圃,13-33万,1年以上,招聘Python后端工程师,https://www.liepin.com/job/1920589969.shtml,本科及以上
广州泉涌信息科技有限公司,广州-天河区,23-46万,4年以上,招聘python开发工程师,https://www.liepin.com/job/1917411179.shtml,本科及以上
百年外企,"广州,上海,北京",23-33万,5年以上,招聘java资深开发/ Python开发,https://www.liepin.com/a/14559903.shtml,统招本科
金财互联数据服务有限公司,广州,18-36万,5年以上,招聘高级产品开发工程师（java/python）,https://www.liepin.com/job/1917476039.shtml,本科及以上
金财互联数据服务有限公司,广州,12-22万,3年以上,招聘产品开发工程师（java/python）,https://www.liepin.com/job/1917476043.shtml,本科及以上
广州非凡信息安全技术有限公司,广州,8-12万,经验不限,招聘python研发工程师[广州],https://www.liepin.com/job/1917899445.shtml,大专及以上
广州非凡信息安全技术有限公司,广州-天河区,4-6万,经验不限,招聘python研发工程师,https://www.liepin.com/job/1917861825.shtml,大专及以上
深圳市智灵时代科技有限公司,广州-天河区,16-30万,3年以上,招聘Python开发工程师（广州办公）,https://www.liepin.com/job/1920248471.shtml,本科及以上
